"educ","gender","id"
12,"咯己",400
12,"咯己",401
12,"咯己",402
12,"咯己",403
12,"咯己",404
12,"咯己",405
17,"巢己",406
15,"巢己",407
19,"巢己",408
19,"巢己",409
8,"咯己",410
12,"咯己",411
12,"咯己",412
16,"咯己",413
8,"巢己",414
15,"巢己",415
15,"巢己",416
15,"巢己",417
15,"巢己",418
15,"巢己",419
19,"巢己",420
15,"巢己",421
15,"巢己",422
12,"咯己",423
15,"咯己",424
12,"咯己",425
16,"巢己",426
8,"巢己",427
15,"巢己",428
8,"巢己",429
19,"巢己",430
18,"巢己",431
12,"巢己",432
12,"巢己",433
16,"巢己",434
15,"巢己",435
12,"巢己",436
8,"巢己",437
15,"巢己",438
12,"咯己",439
8,"咯己",440
15,"咯己",441
12,"咯己",442
8,"咯己",443
12,"咯己",444
15,"巢己",445
16,"巢己",446
15,"巢己",447
12,"咯己",448
16,"巢己",449
19,"巢己",450
15,"巢己",451
12,"巢己",452
15,"巢己",453
19,"巢己",454
16,"巢己",455
19,"巢己",456
15,"巢己",457
19,"巢己",458
12,"咯己",459
12,"咯己",460
8,"咯己",461
16,"咯己",462
15,"咯己",463
19,"巢己",464
12,"巢己",465
12,"咯己",466
16,"咯己",467
16,"咯己",468
15,"咯己",469
12,"巢己",470
15,"巢己",471
15,"巢己",472
12,"咯己",473
12,"咯己",474
15,"巢己",1
16,"巢己",2
12,"咯己",3
8,"咯己",4
15,"巢己",5
15,"巢己",6
15,"巢己",7
12,"咯己",8
15,"咯己",9
12,"咯己",10
16,"咯己",11
8,"巢己",12
15,"巢己",13
15,"咯己",14
12,"巢己",15
12,"巢己",16
15,"巢己",17
16,"巢己",18
12,"巢己",19
12,"咯己",20
16,"咯己",21
12,"巢己",22
15,"咯己",23
12,"咯己",24
15,"咯己",25
15,"巢己",26
19,"巢己",27
15,"巢己",28
19,"巢己",29
15,"巢己",30
12,"巢己",31
19,"巢己",32
15,"巢己",33
19,"巢己",34
17,"巢己",35
8,"咯己",36
12,"巢己",37
15,"巢己",38
16,"巢己",39
15,"咯己",40
12,"咯己",41
15,"巢己",42
12,"巢己",43
8,"巢己",44
12,"巢己",45
15,"咯己",46
12,"咯己",47
12,"巢己",48
15,"巢己",49
16,"巢己",50
12,"巢己",51
15,"巢己",52
18,"巢己",53
12,"巢己",54
12,"巢己",55
15,"巢己",56
15,"巢己",57
15,"咯己",58
15,"巢己",59
12,"巢己",60
8,"巢己",61
16,"巢己",62
17,"巢己",63
16,"巢己",64
8,"巢己",65
19,"巢己",66
16,"巢己",67
16,"巢己",68
16,"巢己",69
15,"巢己",70
17,"巢己",71
16,"咯己",72
12,"咯己",73
15,"咯己",74
15,"咯己",75
15,"咯己",76
12,"咯己",77
12,"咯己",78
16,"咯己",79
16,"咯己",80
12,"咯己",81
12,"咯己",82
12,"咯己",83
8,"咯己",84
15,"巢己",85
15,"巢己",86
12,"巢己",87
19,"巢己",88
19,"巢己",89
8,"咯己",90
12,"咯己",91
8,"咯己",92
12,"咯己",93
12,"咯己",94
12,"咯己",95
8,"巢己",96
17,"巢己",97
8,"巢己",98
12,"咯己",99
18,"巢己",100
